0;ord;10171.763100;0.315400;10652.443800;4.791800
0;inv;19108.409900;0.315500;10388.648600;4.757900
0;rdm;27584.932700;0.307100;10266.380400;4.657200
1;ord;39000.840500;0.645300;41611.279900;10.406200
1;inv;73155.287400;0.614100;40573.370000;9.895100
1;rdm;109988.631600;0.675400;41186.754500;10.189700
2;ord;90782.703200;0.962000;92964.179200;16.267400
2;inv;176002.446100;2.021600;100863.029800;23.907300
2;rdm;254924.151200;0.977400;92685.983800;16.308100
3;ord;263123.504700;1.586000;268242.374200;28.844100
3;inv;469359.085700;2.134900;269956.324600;27.911300
3;rdm;678664.666200;1.583700;254559.773700;28.743800
4;ord;995753.362900;4.210000;1173260.909900;57.111600
4;inv;1818610.691100;6.900400;1008520.720800;59.131200
4;rdm;2666822.887600;3.426000;1055703.081900;57.209900
